코드,펀드명,분류,벤치마크명,설정일
A377990,TIGER Fn신재생에너지,4.국내-전략,FnGuide 신재생에너지 지수,2021-03-04
A376410,TIGER 탄소효율그린뉴딜,03.국내-전략,KRX/S&P 탄소효율그린뉴딜지수,2021-02-04
A364960,TIGER KRX BBIG K-뉴딜,03.국내-전략,KRX BBIG K-뉴딜,2020-10-06
A364980,TIGER KRX2차전지K-뉴딜,03.국내-전략,KRX 2차전지 K-뉴딜 지수,2020-10-06
A364970,TIGER KRX바이오K-뉴딜,03.국내-전략,KRX 바이오 K-뉴딜 지수,2020-10-06
A365000,TIGER KRX인터넷K-뉴딜,03.국내-전략,KRX 인터넷 K-뉴딜 지수,2020-10-06
A364990,TIGER KRX게임K-뉴딜,03.국내-전략,KRX 게임 K-뉴딜 지수,2020-10-06
A365040,TIGER AI코리아그로스액티브,03.국내-전략,코스피 지수,2020-09-28
A315270,TIGER 200커뮤니케이션서비스,02.국내-업종섹터,코스피 200 커뮤니케이션서비스,2019-01-14
A310970,TIGER MSCI KOREA TR,01.국내-시장대표,MSCI KOREA Gross TR,2018-11-19
A310960,TIGER 200TR,01.국내-시장대표,KOSPI 200 TR,2018-11-19
A307510,TIGER 의료기기,03.국내-전략,Fnguide 의료기기 지수,2018-11-07
A307520,TIGER 지주회사,03.국내-전략,Fnguide 지주회사 지수,2018-11-07
A305540,TIGER 2차전지테마,03.국내-전략,WISE 2차전지테마지수,2018-09-11
A300610,TIGER K게임,03.국내-전략,WISE K게임 테마 지수,2018-07-23
A292150,TIGER TOP10,04.국내-규모,FnGuide TOP10지수,2018-03-29
A292160,TIGER KRX300,01.국내-시장대표,KRX 300지수,2018-03-23
A289260,TIGER MSCI KOREA ESG리더스,03.국내-전략,MSCI KOREA ESG LEADERS,2018-02-06
A289250,TIGER MSCI KOREA ESG유니버설,03.국내-전략,MSCI KOREA ESG UNIVERSAL,2018-02-06
A277630,TIGER 코스피,01.국내-시장대표,코스피 지수,2017-08-30
A277650,TIGER 코스피중형주,04.국내-규모,코스피 중형주 지수,2017-08-30
A277640,TIGER 코스피대형주,04.국내-규모,코스피 대형주 지수,2017-08-30
A261140,TIGER 우선주,03.국내-전략,코스피 우선주 지수,2017-01-05
A261060,TIGER 코스닥150IT,02.국내-업종섹터,코스닥 150 정보기술 지수,2016-12-14
A261070,TIGER 코스닥150바이오테크,02.국내-업종섹터,코스닥 150 생명기술 지수,2016-12-14
A252000,TIGER 200동일가중,01.국내-시장대표,코스피 200 동일가중지수,2016-09-19
A232080,TIGER 코스닥150,01.국내-시장대표,코스닥150,2015-11-11
A228820,TIGER KTOP30,01.국내-시장대표,KTOP30,2015-10-13
A228810,TIGER 미디어컨텐츠,02.국내-업종섹터,WISE 미디어컨텐츠,2015-10-06
A228790,TIGER 화장품,02.국내-업종섹터,WISE 화장품,2015-10-06
A228800,TIGER 여행레저,02.국내-업종섹터,WISE 여행레저,2015-10-06
A227540,TIGER 200 헬스케어,02.국내-업종섹터,코스피 200 헬스케어,2015-09-22
A227560,TIGER 200 생활소비재,02.국내-업종섹터,코스피 200 생활소비재,2015-09-22
A227550,TIGER 200 산업재,02.국내-업종섹터,코스피 200 산업재,2015-09-22
A227570,TIGER 우량가치,03.국내-전략,Fnguide 퀄러티밸류,2015-09-22
A217790,TIGER 가격조정,03.국내-전략,FnGuide 컨트레리안,2015-04-28
A211560,TIGER 배당성장,03.국내-전략,코스피 배당성장 50,2014-12-16
A210780,TIGER 코스피고배당,03.국내-전략,코스피 고배당 50,2014-12-04
A174350,TIGER 로우볼,03.국내-전략,FnGuide 로우볼 지수,2013-06-19
A157490,TIGER 소프트웨어,02.국내-업종섹터,FnGuide 소프트웨어,2012-05-15
A157500,TIGER 증권,02.국내-업종섹터,FnGuide 증권 지수,2012-05-15
A150460,TIGER 중국소비테마,03.국내-전략,FnGuide 중국내수테마 지수,2011-12-15
A147970,TIGER 모멘텀,03.국내-전략,FnGuide 모멘텀 지수,2011-10-25
A143860,TIGER 헬스케어,02.국내-업종섹터,KRX 헬스케어,2011-07-15
A139260,TIGER 200 IT,02.국내-업종섹터,코스피 200 정보기술,2011-04-05
A139280,TIGER 경기방어,02.국내-업종섹터,KOSPI 200 경기방어소비재 지수,2011-04-05
A139250,TIGER 200 에너지화학,02.국내-업종섹터,코스피 200 에너지화학,2011-04-05
A139270,TIGER 200 금융,02.국내-업종섹터,코스피 200 금융,2011-04-05
A139220,TIGER 200 건설,02.국내-업종섹터,코스피 200 건설,2011-04-05
A139230,TIGER 200 중공업,02.국내-업종섹터,코스피 200 중공업,2011-04-05
A139290,TIGER 200 경기소비재,02.국내-업종섹터,코스피 200 경기소비재,2011-04-05
A139240,TIGER 200 철강소재,02.국내-업종섹터,코스피 200 철강/소재,2011-04-05
A138540,TIGER 현대차그룹+펀더멘털,03.국내-전략,Fnguide 현대차그룹+,2011-03-09
A138530,TIGER LG그룹+펀더멘털,03.국내-전략,Fnguide LG그룹+,2011-03-09
A138520,TIGER 삼성그룹펀더멘털,03.국내-전략,Fnguide 삼성그룹+,2011-03-04
A102110,TIGER 200,01.국내-시장대표,KOSPI200,2008-04-02
A098560,TIGER 방송통신,02.국내-업종섹터,KRX 방송통신,2007-09-06
A091230,TIGER 반도체,02.국내-업종섹터,KRX 반도체,2006-06-26
A091220,TIGER 은행,02.국내-업종섹터,KRX 은행,2006-06-26
A387270,TIGER 글로벌BBIG액티브,11.해외-업종섹터,NASDAQ 100,2021-05-24
A387280,TIGER 퓨처모빌리티액티브,11.해외-업종섹터,FnGuide 퓨처모빌리티 지수,2021-05-21
A381170,TIGER 미국테크TOP10 INDXXX,11.해외-업종섹터,Indxx US Tech Top 10 Index,2021-04-08
A381180,TIGER 미국필라델피아반도체나스닥,11.해외-업종섹터,PHLX Semiconductor Sector Index,2021-04-08
A371160,TIGER 차이나항셍테크,12.해외-전략,Hang Seng TECH Index,2020-12-14
A371460,TIGER 차이나전기차SOLACTIVE,12.해외-전략,Solactive China Electric Vehicle Index(Net Total Return),2020-12-03
A371470,TIGER 차이나바이오테크SOLACTIVE,12.해외-전략,Solactive China Biotech 지수,2020-12-03
A371450,TIGER 글로벌클라우드컴퓨팅INDXX,12.해외-전략,Indxx Global Cloud Computing Index(Net Total Return),2020-12-03
A360750,TIGER 미국S&P500,10.해외-시장대표,S&P500,2020-08-06
