Name,에너지,에너지,에너지,에너지,에너지,에너지,에너지,에너지,에너지,에너지,소재,소재,소재,소재,소재,소재,소재,소재,소재,소재,산업재,산업재,산업재,산업재,산업재,산업재,산업재,산업재,산업재,산업재,경기관련소비재,경기관련소비재,경기관련소비재,경기관련소비재,경기관련소비재,경기관련소비재,경기관련소비재,경기관련소비재,경기관련소비재,경기관련소비재,필수소비재,필수소비재,필수소비재,필수소비재,필수소비재,필수소비재,필수소비재,필수소비재,필수소비재,필수소비재,건강관리,건강관리,건강관리,건강관리,건강관리,건강관리,건강관리,건강관리,건강관리,건강관리,금융,금융,금융,금융,금융,금융,금융,금융,금융,금융,IT,IT,IT,IT,IT,IT,IT,IT,IT,IT,커뮤니케이션서비스,커뮤니케이션서비스,커뮤니케이션서비스,커뮤니케이션서비스,커뮤니케이션서비스,커뮤니케이션서비스,커뮤니케이션서비스,커뮤니케이션서비스,커뮤니케이션서비스,커뮤니케이션서비스,유틸리티,유틸리티,유틸리티,유틸리티,유틸리티,유틸리티,유틸리티,유틸리티,유틸리티,유틸리티
D A T E,종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간),종가지수,시가총액,거래대금,P/E(Fwd.12M),P/E(FY0),차입공매도금액,"EPS(Fwd.12M, 지배)",개인 순매수대금(일간),외국인총합계순매수대금(일간),기관 순매수대금(일간)
2008-12-30,"2,295.91","22,023,182.03","200,463.15",6.58,7.9,,"10,757","-35,131.94","2,050.39","33,081.55","2,136.62","76,011,735.87","535,825.15",6.5,9.51,634.53,"7,737","-115,325.09","31,333.96","83,991.12","2,067.47","110,231,354.30","1,337,090.99",7.44,10.23,,"4,970","-125,142.06","45,024.91","80,117.15","1,226.21","73,948,960.12","388,838.73",7.44,11.68,,"5,515","-56,362.81","25,307.52","31,055.29","2,867.09","31,116,702.97","137,367.20",11.69,16.26,,"8,010","-12,676.66","3,008.60","9,668.06","1,182.95","14,393,547.36","131,970.48",13.73,26.04,0.05,"6,212","-14,669.55",900.81,"13,768.74","1,099.94","83,699,947.62","465,293.96",7.64,5.46,182.68,"2,272","-52,298.97","25,787.05","26,511.92",516.66,"130,771,168.04","930,904.23",14.24,12.32,408.62,"4,711","-95,325.24","50,385.54","44,939.70",264.54,"39,868,297.80","118,976.21",11.28,12.41,287.42,"2,972","-10,344.40","2,205.04","8,139.36",959.87,"27,779,895.72","94,010.84",55.29,11.78,,637,"2,496.55","10,765.99","-13,262.54"
2009-01-02,"2,423.61","23,158,012.93","119,849.92",6.88,8.31,219.58,"10,815","-27,660.98","2,982.79","24,678.19","2,215.28","78,716,307.54","515,397.66",6.81,9.83,532.08,"7,646","-60,502.22","15,731.28","44,770.94","2,183.83","115,884,534.39","1,675,880.30",7.93,10.77,224.09,"5,014","-94,786.23","15,031.21","79,755.02","1,244.77","74,884,557.14","373,046.68",7.64,11.79,640.78,"5,493","-3,744.92","4,459.27",-714.35,"2,857.53","30,846,011.87","140,556.67",11.57,16.08,,"8,179","22,955.84","2,274.84","-25,230.68","1,186.41","14,429,390.25","103,958.32",13.38,25.87,,"5,568","3,771.10","1,047.88","-4,818.98","1,119.60","85,275,210.40","752,863.40",7.66,5.57,581.66,"2,138","50,081.86","8,799.40","-58,881.25",537.43,"136,225,804","915,462.78",14.49,12.86,1.54,"4,635","-70,476.94","8,798.34","61,678.60",268.28,"40,249,106","189,344.87",11.08,12.53,3.98,"2,963","2,500.61","5,509.90","-8,010.52",964.21,"27,888,940.73","80,646.27",31.23,11.82,60.2,"1,120","11,036.47","4,124.51","-15,160.99"
2009-01-05,"2,452.01","23,383,888.20","170,312.06",6.88,8.4,312.51,"10,815",-345.91,"4,501.08","-4,155.17","2,251.89","79,962,494.64","702,446.22",6.81,9.98,551.31,"7,646","-60,253.08","42,193.45","18,059.64","2,198.29","116,530,611.61","1,753,859.77",7.93,10.83,2.11,"5,014","-159,912.84","84,781.40","75,131.44","1,252.17","75,175,686.02","555,826.41",7.64,11.84,882.13,"5,493","7,792.12","30,792.11","-38,584.23","2,784.73","30,119,678.20","175,388.14",11.57,15.67,,"8,179","62,278.69","-21,702.73","-40,575.96","1,171.58","14,284,557.85","153,733.66",13.38,25.61,,"5,568","19,442.54","-2,067.88","-17,374.66","1,191.85","90,368,396.71","1,255,456.38",7.66,5.83,380.36,"2,138","-46,605.28","27,696.69","18,908.59",543.77,"137,980,547.13","1,354,247.16",14.49,13.03,"2,199.76","4,635","-132,172.70","153,940.24","-21,767.54",266.93,"40,058,666","253,397.10",11.08,12.47,,"2,963","49,079.79","-11,649.08","-37,430.71",980.55,"28,339,384.95","100,293.22",31.23,12.01,,"1,120",233.59,"25,931.04","-26,164.63"
2009-01-06,"2,470.69","23,560,054.17","139,010.16",6.88,8.46,107.8,"10,815","-6,212.90","17,932.76","-11,719.86","2,288.14","81,317,951.80","826,235.95",6.81,10.15,777.74,"7,646","-101,559.35","55,134.32","46,425.03","2,241.65","119,051,928.80","1,921,204.46",7.93,11.06,50.79,"5,014","-164,671.36","84,152.27","80,519.09","1,262","75,731,367.22","608,146.67",7.64,11.92,466.21,"5,493","-68,885.07","24,739.88","44,145.18","2,787.89","30,293,478.47","175,733.07",11.57,15.78,,"8,179","22,378.17","-17,543.42","-4,834.75","1,178.26","14,368,246.20","162,547.88",13.38,25.76,,"5,568","5,231.77","-3,141.56","-2,090.21","1,203.94","91,332,398.42","956,205.76",7.66,5.87,124.76,"2,138","-87,004.70","40,041.69","46,963.01",563.1,"142,855,699.31","1,807,628.84",14.49,13.49,997.16,"4,635","-400,582.28","196,528.64","204,053.64",267.44,"40,155,451.81","236,355.39",11.08,12.5,172.26,"2,963","43,669.14","-33,253.94","-10,415.20","1,000.88","28,909,638.08","149,222.06",31.23,12.26,124.8,"1,120","-4,357.97","12,745.96","-8,387.99"
2009-01-07,"2,509.79","23,944,303.21","163,290.81",6.88,8.6,,"10,815","-1,453.27","40,349.31","-38,896.04","2,382.63","84,451,093.80","952,888.49",6.81,10.54,"1,272.74","7,646","-105,435.21","108,796.91","-3,361.70","2,323.36","123,523,969.34","3,055,819.58",7.93,11.48,186.29,"5,014","-275,833.62","114,797.88","161,035.74","1,291.32","77,391,429.09","830,335.75",7.64,12.18,"1,873.07","5,493","-66,287.25","59,818.99","6,468.26","2,754.50","29,960,451.94","290,920.38",11.57,15.67,,"8,179","129,523.37","-47,941.70","-81,581.67","1,202.82","14,670,769.03","240,190.20",13.38,26.3,,"5,568","13,159.37","-6,170.44","-6,988.92","1,237.60","94,502,692.85","1,324,722.91",7.66,6.11,374.79,"2,138","-106,803.44","50,844.25","55,959.20",586.3,"148,506,903.52","1,792,975.83",14.49,14.02,"4,247.59","4,635","-303,652.45","240,175.29","63,477.16",263.92,"39,616,833.73","331,905.11",11.08,12.33,,"2,963","80,863.40","-18,377.71","-62,485.69","1,011.86","29,229,221.52","156,444.25",31.23,12.39,,"1,120","8,348.10","30,699.98","-39,048.08"
2009-01-08,"2,395.51","22,906,174.23","165,420.94",6.88,8.22,493.29,"10,815","31,525.35","-5,088.60","-26,436.75","2,316.89","82,409,083.84","845,429.18",6.81,10.28,426.42,"7,646","25,874.65","-17,787.55","-8,087.10","2,306.43","122,742,255.68","2,191,411.90",7.93,11.41,817.43,"5,014","49,977.16","-22,075.67","-27,901.48","1,258.45","75,542,387.12","739,097.66",7.64,11.89,"1,112.90","5,493","69,555.27","-35,877.21","-33,678.06","2,748.70","29,812,192.42","186,048.65",11.57,15.57,,"8,179","22,661.47","6,661.28","-29,322.75","1,200.92","14,606,999.39","167,392.83",13.38,26.19,,"5,568","1,501.59","-5,489.69","3,988.10","1,212.71","93,120,961.83","984,609.70",7.66,6.06,"1,934.12","2,138","42,757.42","-49,223.81","6,466.39",574.39,"145,427,304.45","1,523,233.95",14.49,13.73,"1,270.29","4,635","-83,631.56","-19,438.25","103,069.81",262.51,"39,416,971.50","296,019",11.08,12.27,,"2,963","10,075.14","15,126.50","-25,201.64",986.29,"28,530,843.97","101,787.36",31.23,12.1,,"1,120","5,730.78","3,184.42","-8,915.19"
2009-01-09,"2,356.86","22,544,294.44","159,686.99",6.65,8.09,,"10,847","18,981.54","-4,265.83","-14,715.70","2,254.27","80,510,766.92","807,105.71",6.92,10.04,436.05,"7,652","60,067.25","12,429.91","-72,497.16","2,268.10","120,784,977.48","1,961,813.90",8.2,11.22,,"5,033","-25,559.92","-42,848.10","68,408.02","1,249.31","75,044,577.83","652,644.68",7.67,11.81,"1,311.10","5,441","16,063.04","-6,747.03","-9,316.01","2,788.04","30,142,216.43","190,469.07",11.24,15.75,,"8,149","-3,066.02","24,333.13","-21,267.11","1,199","14,601,407.92","265,453.39",13.23,26.18,,"5,567","7,544.40","4,598.36","-12,142.76","1,168.07","89,844,581.90","1,058,643.05",8.17,5.84,141.25,"2,116","123,561.79","-43,367.24","-80,194.55",560.74,"142,094,139.30","1,291,830.09",15.93,13.42,"1,608.65","4,391","31,390.98","-25,433.91","-5,957.07",263.58,"39,631,855.40","206,105.23",10.95,12.34,,"2,952","-3,311.66","9,882.92","-6,571.26",954.16,"27,604,834.96","104,583.48",32.86,11.7,,"1,053","24,125.82","-19,910.45","-4,215.37"
2009-01-12,"2,317.69","22,159,202.57","106,336.50",6.65,7.96,298.5,"10,847","1,804.96","-12,084.49","10,279.53","2,194.18","78,437,806.89","726,626.39",6.92,9.78,281.1,"7,652","78,989.31","-9,800.24","-69,189.07","2,164.65","115,419,112.49","1,537,870.62",8.2,10.72,149.23,"5,033","79,745.40","-34,415.12","-45,330.27","1,230.19","73,930,531.54","507,107.48",7.67,11.64,"1,813.92","5,441","13,125.79","-7,230.52","-5,895.26","2,785.68","30,099,578.97","165,304.86",11.24,15.74,,"8,149","-13,980.50","5,083.92","8,896.58","1,173.83","14,333,911.26","124,247.90",13.23,25.7,,"5,567","2,621.92","-2,536.25",-85.66,"1,135.84","87,557,538.53","637,799.67",8.17,5.7,969.35,"2,116","49,757.75","-21,641.88","-28,115.87",553.29,"140,180,335.06","1,012,130.37",15.93,13.23,"1,817.41","4,391","28,967.14","-14,569.96","-14,397.17",265.07,"39,849,797.13","258,495.27",10.95,12.41,3.24,"2,952","-6,617.31","-16,453.18","23,070.48",957.11,"27,706,205.91","88,908.62",32.86,11.75,,"1,053","-3,334.86","-4,097.32","7,432.18"
2009-01-13,"2,350.01","22,432,938.25","95,895.13",6.65,8.05,592.59,"10,847","6,340.02","6,060.36","-12,400.38","2,192.91","78,464,942.47","698,257.42",6.92,9.78,"2,268.88","7,652","54,259.29","-13,303.51","-40,955.78","2,210.50","117,730,791.49","1,507,516.05",8.2,10.94,363.63,"5,033","57,147.84","21,674.99","-78,822.83","1,228.53","73,807,784.65","604,200.23",7.67,11.62,853.67,"5,441","67,367.23","-47,050.54","-20,316.70","2,807.79","30,242,430.24","174,058.08",11.24,15.82,107.33,"8,149","-16,488.03","-6,017.50","22,505.53","1,193.74","14,535,685.88","141,504.86",13.23,26.06,,"5,567","-5,541.07","6,442.40",-901.33,"1,165.40","89,763,326.36","703,568.70",8.17,5.84,316.8,"2,116","10,983.95","5,575.53","-16,559.48",557.77,"141,364,813.07","1,172,033.58",15.93,13.35,"1,685.28","4,391","76,606.07","13,787.09","-90,393.16",265.45,"39,866,733.40","184,798.90",10.95,12.41,,"2,952","-34,182.44","33,133","1,049.44",951.92,"27,547,122.61","101,015.05",32.86,11.68,,"1,053","2,988.43","3,825.23","-6,813.66"
